field,source,definition,unit,processing_note
GEOID20,USDA/Census,11-digit 2020 census tract identifier,text,Leading zeros restored with zfill(11).
DD_SRAM_LAPOP1_10,USDA SRAM,Population beyond 1 driving mile in urban tracts or 10 driving miles in rural tracts,people,Primary overall retailer-access count.
DD_SRAM_LALOWI1_10,USDA SRAM,Low-income population beyond the primary driving-distance threshold,people,Primary affected low-income count.
DD_SRAM_LILATracts_1And10,USDA SRAM,Official low-income and low-access tract flag at the primary driving-distance threshold,0/1,Primary tract classification.
low_access_population_pct,Derived,Sum of low-access population divided by sum of 2020 population,percent,Never average tract percentages.
low_income_low_access_population_pct,Derived,Sum of low-income low-access population divided by sum of low-income population,percent,Never average tract percentages.
la_kids_mixed,Derived from USDA SRAM,Children beyond 1 mile in urban tracts or 10 miles in rural tracts,people,Primary-threshold subgroup count.
la_seniors_mixed,Derived from USDA SRAM,Adults age 65+ beyond 1 mile in urban tracts or 10 miles in rural tracts,people,Primary-threshold subgroup count.
la_hunv_mixed,Derived from USDA SRAM,No-vehicle occupied housing units beyond 1 mile in urban tracts or 10 miles in rural tracts,housing units,Housing-unit denominator; not a population rate.
la_snap_mixed,Derived from USDA SRAM,SNAP-recipient occupied housing units beyond 1 mile in urban tracts or 10 miles in rural tracts,housing units,Housing-unit denominator; not a population rate.
food_insecurity_pct,USDA CPS-FSS,Households food insecure at some time during the three-year period,percent of households,State estimate with margin of error.
moderate_or_severe_food_insecurity,FAOSTAT FIES,Population experiencing moderate or severe food insecurity,percent of population,Three-year average with confidence bounds.
healthy_diet_unaffordability,FAOSTAT CoAHD,Population unable to afford a healthy diet,percent of population,Economic-access indicator.
county_fips,Feeding America MMG 2026,Five-digit county FIPS identifier,text,Leading zero retained; Alabama values begin 01.
overall_food_insecurity_rate,Feeding America MMG 2026,Estimated share of inhabitants who are food insecure,proportion of people,Modeled 2024 county or state estimate; multiply by 100 for percent display.
food_insecure_persons,Feeding America MMG 2026,Estimated number of inhabitants who are food insecure,people,County and state estimates come from different geographic models and are not forced to sum.
child_food_insecurity_rate,Feeding America MMG 2026,Estimated share of children under age 18 who are food insecure,proportion of children,Modeled 2024 county or state estimate.
cost_per_meal_usd,Feeding America MMG 2026,Average amount spent on food per meal by food-secure individuals,U.S. dollars per meal,Localized food-cost estimate; market-basket values are flagged when imputed.
annual_food_budget_shortfall_usd,Feeding America MMG 2026,Estimated annual additional food dollars needed among people who are food insecure,U.S. dollars,Reported separately from retailer proximity.
