county_fips,state_abbr,county,observation_year,overall_food_insecurity_rate,food_insecure_persons,food_insecure_at_or_below_snap_threshold_rate,food_insecure_above_snap_threshold_rate,child_food_insecurity_rate,food_insecure_children,market_basket_data_imputed,cost_per_meal_usd,weekly_food_budget_shortfall_per_food_insecure_person_usd,annual_food_budget_shortfall_usd,rural_urban_continuum_code_2023,source_id
01001,AL,"Autauga County, Alabama",2024,0.156,9350.0,0.444,0.556,0.203,2850.0,False,3.68,23.02,6528000.0,2,FEEDING_AMERICA_MMG_2026
01003,AL,"Baldwin County, Alabama",2024,0.154,37940.0,0.455,0.545,0.196,10210.0,False,4.15,25.95,29861000.0,3,FEEDING_AMERICA_MMG_2026
01005,AL,"Barbour County, Alabama",2024,0.193,4750.0,0.419,0.581,0.308,1580.0,False,3.53,22.08,3181000.0,6,FEEDING_AMERICA_MMG_2026
01007,AL,"Bibb County, Alabama",2024,0.202,4470.0,0.6,0.4,0.279,1240.0,False,3.43,21.49,2914000.0,1,FEEDING_AMERICA_MMG_2026
01009,AL,"Blount County, Alabama",2024,0.184,10960.0,0.59,0.41,0.213,2930.0,False,3.44,21.56,7167000.0,1,FEEDING_AMERICA_MMG_2026
01011,AL,"Bullock County, Alabama",2024,0.198,1990.0,0.208,0.792,0.326,670.0,True,3.83,23.96,1446000.0,8,FEEDING_AMERICA_MMG_2026
01013,AL,"Butler County, Alabama",2024,0.192,3580.0,0.461,0.539,0.297,1220.0,True,3.46,21.66,2352000.0,6,FEEDING_AMERICA_MMG_2026
01015,AL,"Calhoun County, Alabama",2024,0.197,22890.0,0.567,0.433,0.271,6740.0,False,3.64,22.79,15826000.0,3,FEEDING_AMERICA_MMG_2026
01017,AL,"Chambers County, Alabama",2024,0.173,5930.0,0.464,0.536,0.28,2000.0,False,3.41,21.36,3841000.0,6,FEEDING_AMERICA_MMG_2026
01019,AL,"Cherokee County, Alabama",2024,0.192,4890.0,0.633,0.367,0.239,1130.0,False,3.46,21.68,3216000.0,8,FEEDING_AMERICA_MMG_2026
01021,AL,"Chilton County, Alabama",2024,0.185,8510.0,0.608,0.392,0.217,2410.0,False,3.6,22.56,5824000.0,1,FEEDING_AMERICA_MMG_2026
01023,AL,"Choctaw County, Alabama",2024,0.177,2200.0,0.469,0.531,0.258,630.0,True,3.49,21.83,1457000.0,9,FEEDING_AMERICA_MMG_2026
01025,AL,"Clarke County, Alabama",2024,0.19,4290.0,0.427,0.573,0.278,1350.0,False,3.42,21.42,2787000.0,9,FEEDING_AMERICA_MMG_2026
01027,AL,"Clay County, Alabama",2024,0.195,2770.0,0.673,0.327,0.27,800.0,True,3.49,21.84,1835000.0,9,FEEDING_AMERICA_MMG_2026
01029,AL,"Cleburne County, Alabama",2024,0.189,2920.0,0.671,0.329,0.243,820.0,True,3.68,23.01,2038000.0,8,FEEDING_AMERICA_MMG_2026
01031,AL,"Coffee County, Alabama",2024,0.192,10540.0,0.552,0.448,0.255,3370.0,False,3.89,24.33,7778000.0,4,FEEDING_AMERICA_MMG_2026
01033,AL,"Colbert County, Alabama",2024,0.194,11250.0,0.526,0.474,0.267,3300.0,False,3.7,23.18,7911000.0,3,FEEDING_AMERICA_MMG_2026
01035,AL,"Conecuh County, Alabama",2024,0.196,2210.0,0.511,0.489,0.309,700.0,True,3.43,21.46,1439000.0,9,FEEDING_AMERICA_MMG_2026
01037,AL,"Coosa County, Alabama",2024,0.18,1860.0,0.515,0.485,0.301,540.0,True,3.74,23.38,1319000.0,8,FEEDING_AMERICA_MMG_2026
01039,AL,"Covington County, Alabama",2024,0.205,7700.0,0.707,0.293,0.263,2200.0,False,3.49,21.87,5107000.0,6,FEEDING_AMERICA_MMG_2026
01041,AL,"Crenshaw County, Alabama",2024,0.184,2410.0,0.551,0.449,0.229,680.0,True,3.86,24.19,1768000.0,8,FEEDING_AMERICA_MMG_2026
01043,AL,"Cullman County, Alabama",2024,0.195,17620.0,0.637,0.363,0.247,5010.0,False,3.81,23.82,12733000.0,4,FEEDING_AMERICA_MMG_2026
01045,AL,"Dale County, Alabama",2024,0.213,10590.0,0.585,0.415,0.323,3740.0,False,3.53,22.09,7095000.0,4,FEEDING_AMERICA_MMG_2026
01047,AL,"Dallas County, Alabama",2024,0.21,7730.0,0.286,0.714,0.326,2840.0,False,3.51,21.99,5156000.0,4,FEEDING_AMERICA_MMG_2026
01049,AL,"DeKalb County, Alabama",2024,0.218,15740.0,0.865,0.135,0.266,4620.0,False,3.53,22.07,10536000.0,6,FEEDING_AMERICA_MMG_2026
01051,AL,"Elmore County, Alabama",2024,0.147,13130.0,0.431,0.569,0.217,4190.0,False,3.85,24.09,9596000.0,2,FEEDING_AMERICA_MMG_2026
01053,AL,"Escambia County, Alabama",2024,0.203,7450.0,0.575,0.425,0.281,2330.0,False,3.43,21.46,4851000.0,6,FEEDING_AMERICA_MMG_2026
01055,AL,"Etowah County, Alabama",2024,0.193,19950.0,0.622,0.378,0.264,5960.0,False,3.7,23.18,14027000.0,3,FEEDING_AMERICA_MMG_2026
01057,AL,"Fayette County, Alabama",2024,0.213,3420.0,0.694,0.306,0.287,980.0,True,3.38,21.16,2196000.0,8,FEEDING_AMERICA_MMG_2026
01059,AL,"Franklin County, Alabama",2024,0.217,6940.0,0.786,0.214,0.266,2140.0,False,3.33,20.85,4389000.0,6,FEEDING_AMERICA_MMG_2026
01061,AL,"Geneva County, Alabama",2024,0.213,5730.0,0.702,0.298,0.282,1660.0,False,3.8,23.77,4132000.0,3,FEEDING_AMERICA_MMG_2026
01063,AL,"Greene County, Alabama",2024,0.248,1840.0,0.239,0.761,0.396,630.0,True,4.07,25.48,1422000.0,2,FEEDING_AMERICA_MMG_2026
01065,AL,"Hale County, Alabama",2024,0.198,2930.0,0.393,0.607,0.272,970.0,True,4.07,25.48,2264000.0,2,FEEDING_AMERICA_MMG_2026
01067,AL,"Henry County, Alabama",2024,0.192,3380.0,0.564,0.436,0.246,890.0,True,3.83,23.96,2457000.0,3,FEEDING_AMERICA_MMG_2026
01069,AL,"Houston County, Alabama",2024,0.187,20260.0,0.498,0.502,0.277,6860.0,False,3.79,23.73,14586000.0,3,FEEDING_AMERICA_MMG_2026
01071,AL,"Jackson County, Alabama",2024,0.213,11320.0,0.691,0.309,0.271,2990.0,False,3.66,22.9,7865000.0,6,FEEDING_AMERICA_MMG_2026
01073,AL,"Jefferson County, Alabama",2024,0.164,109330.0,0.348,0.652,0.237,36340.0,False,4.01,25.12,83322000.0,1,FEEDING_AMERICA_MMG_2026
01075,AL,"Lamar County, Alabama",2024,0.21,2870.0,0.697,0.303,0.255,770.0,True,3.38,21.16,1842000.0,8,FEEDING_AMERICA_MMG_2026
01077,AL,"Lauderdale County, Alabama",2024,0.179,17170.0,0.512,0.488,0.25,4650.0,False,3.65,22.88,11915000.0,3,FEEDING_AMERICA_MMG_2026
01079,AL,"Lawrence County, Alabama",2024,0.176,5850.0,0.615,0.385,0.244,1760.0,False,3.39,21.22,3766000.0,3,FEEDING_AMERICA_MMG_2026
01081,AL,"Lee County, Alabama",2024,0.166,30070.0,0.528,0.472,0.198,7520.0,False,4.11,25.73,23472000.0,3,FEEDING_AMERICA_MMG_2026
01083,AL,"Limestone County, Alabama",2024,0.154,17150.0,0.407,0.593,0.19,4700.0,False,4.01,25.09,13054000.0,2,FEEDING_AMERICA_MMG_2026
01085,AL,"Lowndes County, Alabama",2024,0.18,1770.0,0.235,0.765,0.348,750.0,True,3.81,23.83,1280000.0,2,FEEDING_AMERICA_MMG_2026
01087,AL,"Macon County, Alabama",2024,0.164,3070.0,0.07,0.93,0.335,970.0,True,4.05,25.37,2363000.0,3,FEEDING_AMERICA_MMG_2026
01089,AL,"Madison County, Alabama",2024,0.15,60880.0,0.354,0.646,0.195,17090.0,False,3.82,23.89,44110000.0,2,FEEDING_AMERICA_MMG_2026
01091,AL,"Marengo County, Alabama",2024,0.191,3600.0,0.408,0.592,0.27,1120.0,True,3.56,22.3,2436000.0,6,FEEDING_AMERICA_MMG_2026
01093,AL,"Marion County, Alabama",2024,0.222,6470.0,0.701,0.299,0.289,1780.0,False,3.38,21.16,4154000.0,9,FEEDING_AMERICA_MMG_2026
01095,AL,"Marshall County, Alabama",2024,0.2,19990.0,0.665,0.335,0.242,6280.0,False,3.5,21.88,13270000.0,4,FEEDING_AMERICA_MMG_2026
01097,AL,"Mobile County, Alabama",2024,0.167,68970.0,0.413,0.587,0.249,23870.0,False,3.72,23.26,48667000.0,2,FEEDING_AMERICA_MMG_2026
01099,AL,"Monroe County, Alabama",2024,0.182,3530.0,0.456,0.544,0.264,1080.0,True,3.48,21.77,2331000.0,8,FEEDING_AMERICA_MMG_2026
01101,AL,"Montgomery County, Alabama",2024,0.171,38710.0,0.259,0.741,0.293,16000.0,False,3.75,23.5,27594000.0,2,FEEDING_AMERICA_MMG_2026
01103,AL,"Morgan County, Alabama",2024,0.184,22910.0,0.516,0.484,0.238,6940.0,False,3.7,23.18,16111000.0,3,FEEDING_AMERICA_MMG_2026
01105,AL,"Perry County, Alabama",2024,0.205,1640.0,0.335,0.665,0.374,640.0,True,3.56,22.3,1110000.0,8,FEEDING_AMERICA_MMG_2026
01107,AL,"Pickens County, Alabama",2024,0.188,3520.0,0.464,0.536,0.279,1000.0,True,3.74,23.42,2501000.0,2,FEEDING_AMERICA_MMG_2026
01109,AL,"Pike County, Alabama",2024,0.183,6040.0,0.474,0.526,0.261,1660.0,False,3.83,23.96,4390000.0,6,FEEDING_AMERICA_MMG_2026
01111,AL,"Randolph County, Alabama",2024,0.191,4300.0,0.619,0.381,0.246,1160.0,False,3.51,21.95,2863000.0,8,FEEDING_AMERICA_MMG_2026
01113,AL,"Russell County, Alabama",2024,0.2,11750.0,0.433,0.567,0.298,4270.0,False,3.54,22.17,7903000.0,2,FEEDING_AMERICA_MMG_2026
01115,AL,"St. Clair County, Alabama",2024,0.158,14840.0,0.447,0.553,0.2,4190.0,False,3.84,24.05,10827000.0,1,FEEDING_AMERICA_MMG_2026
01117,AL,"Shelby County, Alabama",2024,0.131,30190.0,0.33,0.67,0.157,8230.0,False,4.13,25.87,23695000.0,1,FEEDING_AMERICA_MMG_2026
01119,AL,"Sumter County, Alabama",2024,0.188,2240.0,0.22,0.78,0.315,720.0,True,3.51,21.98,1493000.0,8,FEEDING_AMERICA_MMG_2026
01121,AL,"Talladega County, Alabama",2024,0.19,15420.0,0.501,0.499,0.279,4660.0,False,3.68,23.06,10784000.0,4,FEEDING_AMERICA_MMG_2026
01123,AL,"Tallapoosa County, Alabama",2024,0.188,7680.0,0.487,0.513,0.269,2210.0,False,3.74,23.38,5448000.0,6,FEEDING_AMERICA_MMG_2026
01125,AL,"Tuscaloosa County, Alabama",2024,0.164,38950.0,0.424,0.576,0.22,10670.0,False,4.15,25.96,30666000.0,2,FEEDING_AMERICA_MMG_2026
01127,AL,"Walker County, Alabama",2024,0.213,13810.0,0.648,0.352,0.273,4060.0,False,3.51,21.98,9210000.0,1,FEEDING_AMERICA_MMG_2026
01129,AL,"Washington County, Alabama",2024,0.158,2390.0,0.551,0.449,0.191,580.0,True,3.42,21.42,1553000.0,8,FEEDING_AMERICA_MMG_2026
01131,AL,"Wilcox County, Alabama",2024,0.188,1910.0,0.267,0.733,0.326,730.0,True,3.54,22.14,1283000.0,9,FEEDING_AMERICA_MMG_2026
01133,AL,"Winston County, Alabama",2024,0.222,5250.0,0.78,0.22,0.293,1430.0,False,3.33,20.85,3321000.0,8,FEEDING_AMERICA_MMG_2026
