state,state_abbr,tract_count,population,low_income_population,low_access_population,low_access_population_pct,low_income_low_access_population,low_income_low_access_population_pct,lila_tract_count,lila_tract_pct,low_access_children_pct,low_access_seniors_pct,low_access_no_vehicle_housing_units_pct,low_access_snap_housing_units_pct,period,food_insecurity_pct,food_insecurity_moe_pp,very_low_food_security_pct,very_low_food_security_moe_pp
Alabama,AL,1436,5024279,3243903,895423,17.821920319313477,656013,20.222953645654634,151,10.515320334261839,18.237795057957047,17.71288866684827,12.64615670601357,12.52540864424968,2022-2024,12.1,2.23,4.6,1.31
Alaska,AK,177,733391,546620,228117,31.104417698062836,171340,31.34535875013721,26,14.689265536723164,33.01391397417888,29.606555654777537,34.03968091634281,28.084919793912377,2022-2024,13.0,2.53,6.5,2.1
Arizona,AZ,1765,7151502,5125347,1571480,21.97412515580643,1296503,25.295906794213153,156,8.838526912181303,20.874530762472926,28.794732864785107,13.002079029178098,12.849800500439576,2022-2024,13.1,1.68,5.6,1.03
Arkansas,AR,823,3011524,1854205,573276,19.036076086393468,383561,20.68600828926683,138,16.767922235722963,19.54062275205899,18.95901994263208,16.68697746917954,16.117691203341163,2022-2024,19.4,1.67,7.6,1.52
California,CA,9109,39538223,28038149,5508616,13.932381331351184,4443905,15.849494914946062,426,4.676693380173455,13.998157297375606,16.65527148670038,6.585592901424072,7.541302604841188,2022-2024,12.5,0.82,4.4,0.49
Colorado,CO,1447,5773714,4478490,1175388,20.357572266309,985863,22.013290193792997,134,9.260539046302695,21.650642572250813,21.773695025296565,10.958302852962692,13.270451208282521,2022-2024,10.5,1.94,4.3,1.13
Connecticut,CT,879,3605944,2754370,968672,26.863201425202387,830356,30.146857539110577,47,5.346985210466439,26.51696648781011,30.814987675117646,12.385270111474577,11.768350247816851,2022-2024,12.1,2.07,5.7,1.6
Delaware,DE,259,989948,755017,262543,26.52088796583255,213472,28.273800457473143,31,11.96911196911197,25.79976260265013,29.294829296371102,16.65398325790043,19.497671401098266,2022-2024,10.8,1.97,4.5,1.44
District of Columbia,DC,206,689545,492039,10497,1.5223081887331502,7752,1.5754848701017603,2,0.970873786407767,2.1725066442859142,2.3508804277680464,0.6281503795431789,1.1032580589553524,2022-2024,10.3,1.54,4.9,1.07
Florida,FL,5122,21538187,15325148,6058651,28.129809626037698,4841421,31.591349068863806,516,10.074189769621242,27.798607034369265,32.67468267474835,17.881341990182612,17.119188304167935,2022-2024,13.3,1.28,4.8,0.73
Georgia,GA,2791,10711908,7418086,3018574,28.179610952595933,2347473,31.64526536899141,379,13.579362235757793,29.615465192720922,27.08883554561578,16.40723846307518,18.462821887553414,2022-2024,14.6,1.95,5.9,1.06
Hawaii,HI,436,1455271,1094157,375589,25.808869963051556,295470,27.004351295106645,43,9.862385321100918,26.817006607296754,25.030536270007897,11.963798661046367,18.105839675652607,2022-2024,10.8,1.79,4.5,1.19
Idaho,ID,456,1839106,1340569,406684,22.11313540383208,309882,23.115706837917333,34,7.456140350877193,23.115974290370126,21.913698846885364,16.72326300125911,16.825232295561396,2022-2024,12.6,1.72,4.5,0.91
Illinois,IL,3263,12812508,9169028,1839021,14.353325672069824,1482345,16.16687177746649,158,4.842169782408826,14.874909306269839,15.428763816359716,5.7501968129869425,8.38711992879497,2022-2024,13.3,1.54,4.8,0.91
Indiana,IN,1693,6785528,4703503,1315108,19.38107100877043,1027028,21.83538524372154,124,7.324276432368577,19.946715180460895,19.24558487058487,12.167226330356986,11.731495887975106,2022-2024,13.7,1.66,5.9,1.16
Iowa,IA,896,3190369,2276451,446406,13.992299950256537,334367,14.688082458177224,64,7.142857142857143,14.100336905923006,14.02273118949679,12.190970478263296,11.493877551020407,2022-2024,10.8,2.02,3.9,1.07
Kansas,KS,829,2937880,2065505,571058,19.437757838985934,437489,21.18072819964125,79,9.529553679131483,20.172348581073834,19.16658170027937,12.301839997318766,12.102600246683616,2022-2024,12.5,1.54,4.9,1.0
