county,tract_count,population,low_income_population,low_access_population,low_access_population_pct,low_income_low_access_population,low_income_low_access_population_pct,lila_tract_count,lila_tract_pct,low_access_children_pct,low_access_seniors_pct,low_access_no_vehicle_housing_units_pct,low_access_snap_housing_units_pct,rank_by_affected_low_income_count,rank_by_low_income_low_access_pct
Jefferson County,189,674721,432022,185974,27.56309645023647,133014,30.788709834221404,33,17.46031746031746,28.454827478765054,28.977724390114645,16.435811707265298,16.50241798457718,1,5
Madison County,95,388153,301347,120950,31.16039293783637,106257,35.26067954882577,8,8.421052631578947,31.477205094631593,31.76171654432524,18.71936274509804,17.21442246330568,2,2
Shelby County,55,223024,185749,80021,35.879994978118944,68184,36.70760004091543,1,1.8181818181818181,35.81475912214249,37.9125626404009,32.26250573657641,20.777279521674142,3,1
Baldwin County,43,231767,179166,55259,23.84247973179961,42834,23.907437795117378,5,11.627906976744185,22.192469977280105,26.865259420003945,23.222390317700455,23.294762484774665,4,8
Mobile County,135,414809,252177,60092,14.486667357747782,39741,15.759169154998276,13,9.62962962962963,14.974523494999056,14.262893010631078,7.588637777317023,12.177399148083188,5,18
Lee County,48,174241,115043,48766,27.987672247060107,37598,32.68169293220796,10,20.833333333333332,31.142683281741938,28.164439495174463,22.81391830559758,22.276586559217154,6,3
Tuscaloosa County,59,227036,146945,45237,19.925033915326203,36811,25.05086937289462,4,6.779661016949152,22.19445138715321,22.33991178648466,12.162162162162161,14.12533170034701,7,7
Montgomery County,71,228954,133248,48105,21.01077072250321,33781,25.351975264169067,6,8.450704225352112,20.45141382187979,20.835827392936825,10.634390651085141,11.250608799177444,8,6
Morgan County,31,123421,83913,25045,20.292332747263433,18222,21.715348039040435,2,6.451612903225806,20.572021764032073,20.49606017191977,14.573510501500214,13.107928047968022,9,10
Calhoun County,38,116441,66621,24288,20.858632268702603,14618,21.942030290749162,10,26.31578947368421,21.203212984431932,22.308302608857982,18.921739130434784,22.663522402879483,10,9
Limestone County,23,103570,81077,14838,14.32654243506807,12769,15.749226044377567,1,4.3478260869565215,16.573033707865168,12.409381663113006,7.904022582921666,10.05524861878453,11,19
Houston County,26,107202,66396,13266,12.374769127441652,9301,14.00837399843364,1,3.8461538461538463,11.69571591464408,13.371174728529121,10.79700272479564,7.811602527283171,12,22
Etowah County,33,103436,61532,15156,14.652538767933795,8612,13.995969576805564,3,9.090909090909092,14.201209948465157,16.564774381368267,12.94049682264587,13.656244937631621,13,23
Marshall County,26,97612,61435,14890,15.25427201573577,8284,13.48417026125173,2,7.6923076923076925,16.18221077983556,14.139663836423496,15.869017632241814,15.647163120567376,14,24
Autauga County,17,58805,42372,9950,16.920329903919736,6778,15.996412725384689,1,5.882352941176471,16.370256266629323,17.8946229579141,13.51636747624076,18.33648393194707,15,16
Coffee County,16,53465,35880,8139,15.22304311231647,6297,17.55016722408027,1,6.25,16.54715940430226,13.712876594832208,11.03202846975089,6.495655771617708,16,13
Talladega County,24,82149,46464,10232,12.455416377557853,6020,12.956267217630854,4,16.666666666666668,13.535766423357664,12.001316655694536,11.61987041036717,10.355081336365226,17,28
Russell County,18,59183,32203,10045,16.972779345420136,5859,18.19395708474366,7,38.888888888888886,16.852847883050615,18.12852800694746,17.377731529656607,19.422517656834234,18,12
