state,state_abbr,tract_count,population,low_income_population,low_access_population,low_access_population_pct,low_income_low_access_population,low_income_low_access_population_pct,lila_tract_count,lila_tract_pct,low_access_children_pct,low_access_seniors_pct,low_access_no_vehicle_housing_units_pct,low_access_snap_housing_units_pct,period,food_insecurity_pct,food_insecurity_moe_pp,very_low_food_security_pct,very_low_food_security_moe_pp,food_insecurity_rank_high_to_low,low_access_population_rank_high_to_low,low_income_low_access_rank_high_to_low,lila_tract_share_rank_high_to_low
Arkansas,AR,823,3011524,1854205,573276,19.036076086393468,383561,20.68600828926683,138,16.767922235722963,19.54062275205899,18.95901994263208,16.68697746917954,16.117691203341163,2022-2024,19.4,1.67,7.6,1.52,1,6,6,1
Kentucky,KY,1306,4505836,2866115,672664,14.928727987436737,499296,17.42065478879947,89,6.814701378254211,15.748540025989886,14.36612227712899,10.12647918753614,9.376123771691407,2022-2024,18.8,2.8,9.0,2.24,2,9,9,10
Louisiana,LA,1379,4657757,2785064,864138,18.55266386803777,568349,20.407035529524634,163,11.820159535895577,19.28175723342982,17.470644427060197,12.551151566024867,14.91922843159208,2022-2024,17.7,2.29,6.8,1.24,3,7,7,4
Mississippi,MS,875,2961279,1708893,438562,14.80988451273926,288612,16.88882803077782,91,10.4,14.887227942897262,14.57529128014114,12.13941642212502,11.604719687766549,2022-2024,17.3,1.62,6.9,0.91,4,10,10,7
Georgia,GA,2791,10711908,7418086,3018574,28.179610952595933,2347473,31.64526536899141,379,13.579362235757793,29.615465192720922,27.08883554561578,16.40723846307518,18.462821887553414,2022-2024,14.6,1.95,5.9,1.06,5,1,1,2
South Carolina,SC,1317,5118425,3507847,1309761,25.589141190893685,1017466,29.005426975577898,142,10.782080485952923,26.551656981878953,26.15100967024058,16.675340123410898,15.370451871345555,2022-2024,13.5,1.6,5.8,1.23,6,3,3,5
Tennessee,TN,1701,6910840,4708409,1400297,20.26232701089882,1075806,22.848609795793017,166,9.75896531452087,20.9051296313403,20.43183496372834,13.503691778914407,13.02502627987908,2022-2024,13.3,1.72,5.8,1.2,7,5,5,9
Florida,FL,5122,21538187,15325148,6058651,28.129809626037698,4841421,31.591349068863806,516,10.074189769621242,27.798607034369265,32.67468267474835,17.881341990182612,17.119188304167935,2022-2024,13.3,1.28,4.8,0.73,7,2,2,8
Alabama,AL,1436,5024279,3243903,895423,17.821920319313477,656013,20.222953645654634,151,10.515320334261839,18.237795057957047,17.71288866684827,12.64615670601357,12.52540864424968,2022-2024,12.1,2.23,4.6,1.31,9,8,8,6
North Carolina,NC,2660,10439388,7252346,2601369,24.91878834276492,2003614,27.62711541892789,319,11.992481203007518,25.95555991382877,24.06093946289582,17.174213051192744,16.41136252943352,2022-2024,11.8,1.66,4.4,0.99,10,4,4,3

