period,state_abbr,food_insecurity_pct,food_insecurity_moe_pp,very_low_food_security_pct,very_low_food_security_moe_pp
2022-2024,U.S.,13.3,0.4,5.2,0.21
2022-2024,AK,13.0,2.53,6.5,2.1
2022-2024,AL,12.1,2.23,4.6,1.31
2022-2024,AR,19.4,1.67,7.6,1.52
2022-2024,AZ,13.1,1.68,5.6,1.03
2022-2024,CA,12.5,0.82,4.4,0.49
2022-2024,CO,10.5,1.94,4.3,1.13
2022-2024,CT,12.1,2.07,5.7,1.6
2022-2024,DC,10.3,1.54,4.9,1.07
2022-2024,DE,10.8,1.97,4.5,1.44
2022-2024,FL,13.3,1.28,4.8,0.73
2022-2024,GA,14.6,1.95,5.9,1.06
2022-2024,HI,10.8,1.79,4.5,1.19
2022-2024,IA,10.8,2.02,3.9,1.07
2022-2024,ID,12.6,1.72,4.5,0.91
2022-2024,IL,13.3,1.54,4.8,0.91
2022-2024,IN,13.7,1.66,5.9,1.16
2022-2024,KS,12.5,1.54,4.9,1.0
2022-2024,KY,18.8,2.8,9.0,2.24
2022-2024,LA,17.7,2.29,6.8,1.24
2022-2024,MA,11.7,1.53,3.9,0.88
2022-2024,MD,11.5,1.79,4.8,1.17
2022-2024,ME,12.9,2.75,4.6,1.44
2022-2024,MI,14.7,1.99,6.3,1.06
2022-2024,MN,9.9,1.69,3.7,0.95
2022-2024,MO,13.3,2.16,5.9,1.06
2022-2024,MS,17.3,1.62,6.9,0.91
2022-2024,MT,11.7,1.71,4.2,0.94
2022-2024,NC,11.8,1.66,4.4,0.99
2022-2024,ND,9.0,1.62,4.1,0.97
2022-2024,NE,12.7,1.92,5.3,1.28
2022-2024,NH,9.1,1.81,4.4,1.35
2022-2024,NJ,9.8,1.43,3.5,0.87
2022-2024,NM,14.5,2.2,6.5,1.4
2022-2024,NV,15.0,2.17,6.1,1.51
2022-2024,NY,14.0,1.29,5.6,0.85
2022-2024,OH,14.2,1.45,6.2,0.96
2022-2024,OK,16.9,2.78,6.0,1.38
2022-2024,OR,12.5,2.37,5.7,1.59
2022-2024,PA,10.9,1.3,3.7,0.78
2022-2024,RI,10.6,2.58,5.1,1.68
2022-2024,SC,13.5,1.6,5.8,1.23
2022-2024,SD,9.5,1.48,3.4,1.3
2022-2024,TN,13.3,1.72,5.8,1.2
2022-2024,TX,17.6,1.01,6.6,0.63
2022-2024,UT,11.5,1.59,4.3,1.02
2022-2024,VA,12.4,1.69,5.3,1.05
2022-2024,VT,9.4,1.78,3.7,1.29
2022-2024,WA,11.0,1.17,3.9,0.73
2022-2024,WI,12.0,1.75,4.4,0.81
2022-2024,WV,14.1,1.86,4.3,0.99
2022-2024,WY,15.6,2.69,6.4,1.43

