geography,distance_method,threshold,low_access_population,low_access_population_pct,low_income_low_access_population,low_income_low_access_population_pct,lila_tract_count,lila_tract_pct
United States,Driving,0.5 urban / 10 rural,134002037,40.4291228497189,102183683,43.55194053854513,16157,19.20731344880467
United States,Driving,1 urban / 10 rural,62320755,18.802501188711283,49667746,21.169003278885167,6301,7.490578822858094
United States,Driving,1 urban / 20 rural,60446885,18.23714470510497,48422948,20.638455084820762,5780,6.8712181552324685
United States,Straight line,1 urban / 10 rural,28446346,8.582412945406269,23324504,9.941190036172976,2356,2.8007941131016776
Project-defined Southeast,Driving,0.5 urban / 10 rural,33961782,45.355293402835116,24622271,48.59337522214321,4419,22.76661514683153
Project-defined Southeast,Driving,1 urban / 10 rural,17832715,23.81524093742015,13681611,27.001394670962803,2154,11.097372488408038
Project-defined Southeast,Driving,1 urban / 20 rural,17528804,23.40937376079941,13505958,26.65473403442383,2061,10.61823802163833
Project-defined Southeast,Straight line,1 urban / 10 rural,7906169,10.558533550665848,6308121,12.449415843878953,777,4.003091190108192
Alabama,Driving,0.5 urban / 10 rural,1708505,34.00497862479373,1165090,35.91630205958686,316,22.00557103064067
Alabama,Driving,1 urban / 10 rural,895423,17.821920319313477,656013,20.222953645654634,151,10.515320334261839
Alabama,Driving,1 urban / 20 rural,860258,17.122018900622358,636383,19.617818411956215,139,9.67966573816156
Alabama,Straight line,1 urban / 10 rural,367714,7.31874165427517,279569,8.618290990821858,51,3.551532033426184

